project_name,project_link,version_name,commit,timestamp
Hive,https://github.com/apache/hive,release-2.0.1,"Commit(sha=""e3cfeebcefe9a19c5055afdcbb00646908340694"")",2016-05-04 04:02:05
Hive,https://github.com/apache/hive,release-2.0.0,"Commit(sha=""7f9f1fcb8697fb33f0edc2c391930a3728d247d7"")",2016-02-10 01:53:25
Hive,https://github.com/apache/hive,release-1.2.1,"Commit(sha=""243e7c1ac39cb7ac8b65c5bc6988f5cc3162f558"")",2015-06-19 08:49:55
Hive,https://github.com/apache/hive,release-1.2.0,"Commit(sha=""7f237de447bcd726bb3d0ba332cbb733f39fc02f"")",2015-05-15 00:59:07
Hive,https://github.com/apache/hive,release-1.1.1,"Commit(sha=""3e8d832a1a8e2b12029adcb55862cf040098ef0f"")",2015-05-14 22:09:06
Hive,https://github.com/apache/hive,release-1.1.0,"Commit(sha=""e60744d017ef79f1b17f474c0b969d4ca5592462"")",2015-03-09 02:37:05
Hive,https://github.com/apache/hive,release-1.0.1,"Commit(sha=""73b600dc79ba8a9a32078a2ea0eb8ae3df20c9d5"")",2015-05-14 21:54:45
Hive,https://github.com/apache/hive,release-1.0.0,"Commit(sha=""697aecadc3ba62bc11f3ba0a6c8522daeec7b53f"")",2015-02-03 20:35:46
Hive,https://github.com/apache/hive,release-0.14.0,"Commit(sha=""70eea944afaf5f64b8939b2b3a0d8fdd33a41c18"")",2014-11-12 20:35:15
Hive,https://github.com/apache/hive,release-0.13.1,"Commit(sha=""89bb2e8c34386b43efa37ecc6918a50c4bfb005f"")",2014-06-05 21:03:32
Hive,https://github.com/apache/hive,release-0.13.0,"Commit(sha=""d0fe5f1b3ac361f747b12f9137322367da73652f"")",2014-04-19 00:44:52
Hive,https://github.com/apache/hive,release-0.12.0,"Commit(sha=""b77a6caafbba087bea617e87b566b5b55ff102f6"")",2013-10-14 20:40:11
Dbeaver,https://github.com/dbeaver/dbeaver,21.1.4,"Commit(sha=""113a0a672f277a6e8181757a0c54f92d42f98ef9"")",2021-07-29 11:08:18
Dbeaver,https://github.com/dbeaver/dbeaver,21.1.3,"Commit(sha=""4430459a3fe06c6140aa40b71ddc41ddf8af968b"")",2021-07-15 08:06:56
Dbeaver,https://github.com/dbeaver/dbeaver,21.1.2,"Commit(sha=""b0693d44048a9c50e750b6df69cfe83fcb21fd7e"")",2021-07-02 13:34:15
Dbeaver,https://github.com/dbeaver/dbeaver,21.1.1,"Commit(sha=""073dfc26c7a065f5d5abf18be8cce8258a9aaa71"")",2021-06-18 13:50:04
Dbeaver,https://github.com/dbeaver/dbeaver,21.1.0,"Commit(sha=""17ce2d14317b1160ec9480da549028d1827e1277"")",2021-05-28 05:16:23
Dbeaver,https://github.com/dbeaver/dbeaver,21.0.5,"Commit(sha=""6176d108f6cea5e290f6913550f1c21563ea3d7c"")",2021-05-14 14:25:07
