project_name,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
coobird-thumbnailator,19.0,389.0,4.0,114.0,36123.0,346.0,14.0,345.0,5.0,3.0,0.0,4.0,2.0,0.0,19.0,7.0,7.0,15.0,3.0,0.0,19.0,0.0,1323.0,5634.0,17.0,7.0,36.0,59.0,6.0,1075.0,1731.0,1161.0,61.0,1156.0,4.0,18.0,8.0,0.0,629.0,1025.0
rzwitserloot-lombok,149.0,675.0,11.0,240.0,8373.0,143.0,128.0,120.0,44.0,12.0,2.0,15.0,4.0,1.0,74.0,74.0,74.0,74.0,7.0,0.0,74.0,0.0,335.0,2041.0,258.0,91.0,139.0,20.0,71.0,823.0,309.0,666.0,73.0,407.0,7.0,74.0,10.0,12.0,643.0,1025.0
apache-oodt,50.0,314.0,21.0,240.0,3025.0,98.0,51.0,83.0,26.0,33.0,0.0,4.0,3.0,18.0,35.0,26.0,26.0,30.0,8.0,0.0,26.0,0.0,208.0,1633.0,99.0,42.0,48.0,98.0,54.0,344.0,182.0,266.0,123.0,174.0,10.0,7.0,6.0,0.0,341.0,1025.0
apache-karaf,67.0,517.0,13.0,290.0,6147.0,123.0,22.0,73.0,115.0,26.0,1.0,26.0,10.0,6.0,75.0,62.0,31.0,64.0,41.0,0.0,64.0,0.0,127.0,1563.0,78.0,107.0,47.0,36.0,91.0,663.0,539.0,299.0,100.0,299.0,10.0,4.0,19.0,33.0,601.0,1025.0
testcontainers-testcontainers-java,71.0,160.0,13.0,243.0,4481.0,98.0,10.0,64.0,13.0,22.0,19.0,5.0,3.0,2.0,35.0,14.0,8.0,27.0,3.0,0.0,15.0,0.0,39.0,936.0,62.0,3.0,25.0,12.0,7.0,167.0,26.0,105.0,72.0,80.0,5.0,7.0,7.0,21.0,481.0,1025.0
flyway,48.0,187.0,6.0,137.0,6640.0,118.0,28.0,118.0,17.0,36.0,0.0,9.0,12.0,2.0,64.0,56.0,55.0,57.0,6.0,0.0,55.0,0.0,85.0,780.0,116.0,37.0,39.0,11.0,17.0,344.0,49.0,143.0,23.0,104.0,7.0,30.0,1.0,0.0,689.0,1025.0
apache-curator,99.0,151.0,5.0,145.0,2428.0,76.0,19.0,39.0,12.0,6.0,3.0,3.0,2.0,8.0,34.0,13.0,10.0,28.0,5.0,0.0,27.0,0.0,75.0,1123.0,61.0,24.0,16.0,41.0,15.0,336.0,93.0,141.0,30.0,119.0,7.0,25.0,3.0,21.0,341.0,1025.0
facebook-buck,250.0,550.0,42.0,712.0,13002.0,168.0,53.0,142.0,150.0,30.0,22.0,41.0,33.0,12.0,994.0,994.0,993.0,70.0,29.0,0.0,994.0,0.0,1580.0,7010.0,222.0,64.0,73.0,32.0,47.0,5103.0,672.0,1291.0,87.0,1276.0,8.0,36.0,37.0,106.0,722.0,1025.0
apache-maven,83.0,578.0,6.0,413.0,25878.0,228.0,24.0,165.0,40.0,225.0,2.0,2.0,3.0,5.0,51.0,36.0,36.0,51.0,12.0,0.0,36.0,0.0,94.0,2483.0,120.0,27.0,119.0,18.0,92.0,1215.0,284.0,237.0,77.0,160.0,10.0,4.0,8.0,26.0,457.0,1025.0
pxb1988-dex2jar,54.0,348.0,8.0,148.0,2415.0,70.0,69.0,69.0,32.0,13.0,0.0,7.0,2.0,2.0,69.0,42.0,18.0,22.0,17.0,0.0,69.0,0.0,275.0,1525.0,83.0,41.0,42.0,10.0,83.0,152.0,486.0,511.0,267.0,360.0,9.0,8.0,19.0,0.0,384.0,1025.0
swagger-api-swagger-core,109.0,554.0,9.0,430.0,5478.0,113.0,46.0,110.0,14.0,46.0,1.0,7.0,7.0,1.0,47.0,31.0,17.0,44.0,9.0,0.0,31.0,0.0,135.0,2155.0,182.0,27.0,87.0,6.0,16.0,1362.0,57.0,333.0,28.0,302.0,8.0,4.0,21.0,29.0,326.0,1025.0
google-cdep,38.0,142.0,4.0,100.0,1378.0,53.0,32.0,51.0,30.0,19.0,0.0,1.0,0.0,0.0,15.0,14.0,15.0,8.0,4.0,0.0,15.0,0.0,114.0,1229.0,71.0,18.0,22.0,16.0,3.0,1044.0,83.0,146.0,29.0,137.0,5.0,4.0,3.0,0.0,230.0,1025.0
culturecommunication-ginco,49.0,100.0,4.0,124.0,987.0,46.0,5.0,46.0,15.0,2.0,0.0,1.0,13.0,0.0,28.0,28.0,26.0,22.0,0.0,0.0,27.0,0.0,16.0,578.0,45.0,21.0,15.0,4.0,6.0,102.0,47.0,86.0,24.0,95.0,7.0,16.0,1.0,0.0,179.0,1025.0
apache-commons-math,42.0,494.0,19.0,144.0,8018.0,128.0,89.0,108.0,32.0,24.0,5.0,15.0,14.0,34.0,48.0,48.0,12.0,46.0,36.0,0.0,48.0,0.0,677.0,6103.0,258.0,172.0,122.0,48.0,428.0,1272.0,6938.0,959.0,1174.0,476.0,9.0,60.0,19.0,4.0,784.0,1025.0
apache-httpcomponents-core,62.0,283.0,5.0,185.0,3081.0,79.0,27.0,79.0,25.0,12.0,0.0,20.0,24.0,4.0,66.0,66.0,66.0,32.0,3.0,0.0,66.0,0.0,226.0,1590.0,55.0,34.0,35.0,26.0,16.0,404.0,1397.0,317.0,28.0,316.0,6.0,49.0,4.0,0.0,253.0,1025.0
apache-wicket,115.0,481.0,62.0,334.0,19939.0,203.0,41.0,125.0,20.0,39.0,9.0,14.0,124.0,12.0,57.0,54.0,47.0,46.0,9.0,0.0,54.0,0.0,190.0,2281.0,157.0,20.0,75.0,15.0,53.0,505.0,116.0,239.0,46.0,192.0,8.0,19.0,16.0,28.0,1304.0,1025.0
javafunk-funk,52.0,334.0,10.0,179.0,55611.0,334.0,333.0,333.0,6.0,2.0,0.0,14.0,0.0,0.0,5.0,2.0,1.0,5.0,3.0,0.0,3.0,0.0,563.0,1041.0,333.0,7.0,5.0,6.0,5.0,509.0,584.0,328.0,2.0,328.0,3.0,31.0,2.0,0.0,888.0,1025.0
google-error-prone,449.0,279.0,22.0,271.0,10585.0,146.0,130.0,127.0,19.0,6.0,1.0,7.0,69.0,1.0,54.0,32.0,22.0,54.0,3.0,0.0,54.0,0.0,341.0,1728.0,172.0,19.0,37.0,49.0,63.0,1194.0,72.0,157.0,39.0,140.0,11.0,21.0,52.0,95.0,585.0,1025.0
Jotschi-maven-release-workflow-test,2.0,9.0,2.0,13.0,10.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,42.0,1.0,0.0,0.0,2.0,0.0,21.0,7.0,4.0,5.0,4.0,2.0,0.0,0.0,0.0,30.0,1025.0
apache-tika,73.0,345.0,79.0,197.0,4086.0,92.0,52.0,90.0,31.0,38.0,0.0,7.0,6.0,7.0,117.0,76.0,48.0,116.0,7.0,0.0,84.0,0.0,306.0,1310.0,75.0,43.0,68.0,31.0,131.0,1562.0,221.0,333.0,124.0,232.0,8.0,14.0,33.0,3.0,668.0,1025.0
square-okhttp,78.0,350.0,7.0,285.0,13360.0,261.0,10.0,218.0,40.0,4.0,0.0,4.0,0.0,3.0,21.0,9.0,7.0,18.0,1.0,0.0,15.0,0.0,54.0,3173.0,40.0,10.0,7.0,59.0,12.0,1279.0,397.0,438.0,135.0,359.0,4.0,28.0,7.0,34.0,765.0,1025.0
apache-openwebbeans,175.0,291.0,12.0,389.0,8385.0,130.0,60.0,130.0,35.0,26.0,2.0,6.0,1.0,7.0,80.0,80.0,80.0,33.0,9.0,0.0,80.0,0.0,138.0,2102.0,148.0,52.0,35.0,17.0,25.0,106.0,42.0,210.0,40.0,185.0,9.0,17.0,17.0,36.0,451.0,1025.0
activiti-activiti,301.0,618.0,8.0,246.0,83844.0,413.0,26.0,410.0,11.0,32.0,1.0,51.0,1.0,3.0,257.0,257.0,257.0,30.0,168.0,0.0,257.0,0.0,79.0,2744.0,343.0,55.0,117.0,17.0,68.0,1160.0,940.0,401.0,291.0,266.0,9.0,23.0,16.0,119.0,803.0,1025.0
google-openrtb-doubleclick,45.0,56.0,5.0,91.0,292.0,34.0,7.0,31.0,8.0,5.0,0.0,0.0,10.0,0.0,21.0,17.0,8.0,21.0,0.0,0.0,21.0,0.0,33.0,321.0,31.0,11.0,16.0,6.0,8.0,77.0,68.0,48.0,33.0,48.0,5.0,1.0,5.0,4.0,342.0,16.0
ReactiveX-RxJava,381.0,597.0,26.0,371.0,137550.0,525.0,133.0,520.0,17.0,4.0,0.0,4.0,387.0,1.0,29.0,26.0,6.0,6.0,8.0,0.0,13.0,0.0,1238.0,4755.0,546.0,66.0,28.0,89.0,16.0,696.0,674.0,417.0,200.0,414.0,10.0,201.0,36.0,64.0,2035.0,1025.0
apache-spark,92.0,278.0,108.0,238.0,3965.0,93.0,25.0,93.0,23.0,18.0,4.0,39.0,32.0,7.0,35.0,23.0,19.0,31.0,33.0,0.0,35.0,0.0,703.0,14414.0,147.0,49.0,65.0,28.0,27.0,690.0,887.0,372.0,156.0,353.0,7.0,21.0,281.0,49.0,493.0,1025.0
google-exoplayer,82.0,396.0,22.0,242.0,5842.0,116.0,108.0,106.0,68.0,56.0,42.0,7.0,43.0,23.0,206.0,190.0,190.0,204.0,6.0,0.0,190.0,0.0,246.0,2725.0,192.0,47.0,173.0,18.0,98.0,244.0,994.0,436.0,133.0,391.0,7.0,50.0,21.0,21.0,832.0,1025.0
auth0-java-jwt,21.0,90.0,5.0,61.0,1079.0,77.0,25.0,74.0,10.0,1.0,0.0,2.0,0.0,0.0,18.0,17.0,1.0,17.0,0.0,0.0,17.0,0.0,308.0,937.0,30.0,3.0,9.0,4.0,6.0,243.0,172.0,341.0,30.0,283.0,4.0,1.0,1.0,0.0,517.0,1025.0
apache-calcite,202.0,877.0,68.0,689.0,116810.0,484.0,378.0,366.0,76.0,87.0,6.0,14.0,12.0,4.0,300.0,300.0,299.0,72.0,13.0,0.0,299.0,0.0,545.0,9080.0,446.0,96.0,125.0,33.0,99.0,7636.0,880.0,1008.0,1118.0,1004.0,8.0,101.0,64.0,85.0,1424.0,1025.0
apache-tinkerpop,228.0,243.0,55.0,194.0,17020.0,185.0,155.0,185.0,19.0,9.0,185.0,58.0,14.0,4.0,46.0,46.0,46.0,26.0,14.0,0.0,46.0,0.0,416.0,2403.0,193.0,55.0,22.0,48.0,219.0,499.0,475.0,446.0,33.0,446.0,11.0,39.0,32.0,101.0,682.0,1025.0
java-native-accessjna,76.0,417.0,133.0,250.0,14535.0,171.0,150.0,105.0,25.0,39.0,0.0,3.0,21.0,4.0,4347.0,1982.0,1982.0,47.0,9.0,0.0,1982.0,0.0,292.0,4351.0,139.0,33.0,84.0,44.0,95.0,524.0,4337.0,4347.0,312.0,4347.0,8.0,46.0,108.0,0.0,3519.0,1025.0
raphw-byte-buddy,224.0,215.0,211.0,314.0,18719.0,194.0,193.0,193.0,6.0,18.0,1.0,6.0,16.0,1.0,52.0,49.0,19.0,51.0,9.0,0.0,49.0,0.0,926.0,5441.0,195.0,18.0,16.0,29.0,29.0,149.0,253.0,286.0,48.0,286.0,6.0,22.0,136.0,6.0,1051.0,1025.0
