project_name,project_link,version_name,commit
permissions-dispatcher-PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,ktx-1.0.0-beta1,"Commit(sha=""6405040c811ba3899f0df2c137ff37047cfc3107"")"
permissions-dispatcher-PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,4.7.0,"Commit(sha=""24327b773bc6327a5a9e0758b6c9277ee8874e69"")"
permissions-dispatcher-PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,4.6.0,"Commit(sha=""2b3772c07625b05a954d3b6b0c9510f3151eb536"")"
permissions-dispatcher-PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,4.5.0,"Commit(sha=""37b32571c55d8eedbb7a2b1fb6b6ce2e3dfcae28"")"
permissions-dispatcher-PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,4.3.1,"Commit(sha=""600fea8618289b629054016af5bd89ccb5202cfe"")"
permissions-dispatcher-PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,4.3.0,"Commit(sha=""5b83d5a151eedfb5057643b61c65426c62423d75"")"
permissions-dispatcher-PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,4.2.0,"Commit(sha=""db376a568edb34a70b7160c6286365c6ad6c5491"")"
permissions-dispatcher-PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,4.1.0,"Commit(sha=""0dd00585df0e3e7cd0dba5b2d32c61bcb7bb43ad"")"
permissions-dispatcher-PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,4.0.0,"Commit(sha=""8da8eefa4b1eb7f28f8e2d3dd1128fa20bfb630a"")"
permissions-dispatcher-PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,4.0.0-alpha1,"Commit(sha=""23722210113e1bebf57614f124b1af9babaeb6ae"")"
permissions-dispatcher-PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,3.3.2,"Commit(sha=""ddd54fd4877d0112e6813fb94c6faf463135e2cb"")"
permissions-dispatcher-PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,3.3.1,"Commit(sha=""f689f1ca366afcec8973e293d1fbf8d610db8df9"")"
permissions-dispatcher-PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,3.3.0,"Commit(sha=""01bb23f4f1ffaf218fb008df11e8a081400b5c92"")"
permissions-dispatcher-PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,3.2.0,"Commit(sha=""0bb3f3634436059e59bb8e2a0bc2049568e2e072"")"
permissions-dispatcher-PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,3.1.0,"Commit(sha=""d4e9e907aaafb2e1ef25bacb7f64df99d0a00c4f"")"
permissions-dispatcher-PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,3.0.1,"Commit(sha=""107b98b85b7861ff7002bdb85c0393dbe706995a"")"
permissions-dispatcher-PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,3.0.0,"Commit(sha=""6e8a5a887c491455212549b22fe62b6c48cb0069"")"
permissions-dispatcher-PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,2.4.0,"Commit(sha=""a9d0c41901557adb17af0e841d7a4a14fa4b606f"")"
permissions-dispatcher-PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,2.3.2,"Commit(sha=""f6b43f2b0008ec7e7a49fe8e244c1238e111566b"")"
permissions-dispatcher-PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,2.3.1,"Commit(sha=""8cbf6660eb418d24665dc038baa609bed7e0eb26"")"
permissions-dispatcher-PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,2.3.0,"Commit(sha=""71ee44037118e7b57e3f55f58d769fddb599a0a1"")"
permissions-dispatcher-PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,2.2.1,"Commit(sha=""4511cdc0e5d7e82526361864d85b73c226ec9dd0"")"
permissions-dispatcher-PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,2.2.0,"Commit(sha=""a03bf736ba827763c900323946883a6dde34eba9"")"
permissions-dispatcher-PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,2.1.3,"Commit(sha=""5261925194a6890aa0111d5356d6d786adc74191"")"
permissions-dispatcher-PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,2.1.2,"Commit(sha=""0c4784ec00063451c76827b39b76f79a5034360c"")"
permissions-dispatcher-PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,2.1.1,"Commit(sha=""f425bf419cd16791d19cc939a118689a99b0cc5d"")"
permissions-dispatcher-PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,2.1.0,"Commit(sha=""7bef67b9c83e04168e3376006dbd38a5c0fea22c"")"
permissions-dispatcher-PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,2.0.9,"Commit(sha=""7ed7d85336131b4bf1d0eb4de31bcbb91a0d126b"")"
permissions-dispatcher-PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,2.0.8,"Commit(sha=""04d800c05b2529da191b35a86314ce1a1580af23"")"
permissions-dispatcher-PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,2.0.7,"Commit(sha=""d32396f685a6d9e3d015b6ab9fb22844cdcbdf23"")"
permissions-dispatcher-PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,2.0.6,"Commit(sha=""0dc206396b3098fb9006ee6641ebc3db19d3a153"")"
permissions-dispatcher-PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,2.0.5,"Commit(sha=""9baa2e427d04e9ebcbad1b76a81155f1761c7dbb"")"
permissions-dispatcher-PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,2.0.4,"Commit(sha=""379cc7388c13e6f4615e859375106f3eee0c3e00"")"
permissions-dispatcher-PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,2.0.3,"Commit(sha=""89df9cccc065b4e2232c055e61d7ba2a36da1c09"")"
permissions-dispatcher-PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,2.0.2,"Commit(sha=""b7c79989fef7f7595bbece8c243e6f212e7fcbe0"")"
permissions-dispatcher-PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,2.0.1,"Commit(sha=""e2f45f859a46dfb0ce544f7a988c85cc9f0d1bb9"")"
permissions-dispatcher-PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,2.0.0,"Commit(sha=""6de7a6faaaa14a1f441aa5b3bec97dad72eb2560"")"
permissions-dispatcher-PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,1.2.1,"Commit(sha=""5909f7bab58f54e98b922378133b9e51e2a24fad"")"
permissions-dispatcher-PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,1.2.0,"Commit(sha=""32338bbec159184db44eed6f652b76666793fcc9"")"
permissions-dispatcher-PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,1.1.2,"Commit(sha=""7e3d18b8a71941624fb7b9c71d5eddfd28c99410"")"
permissions-dispatcher-PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,1.1.1,"Commit(sha=""41177334b97d879aed13169e627995793ab1d848"")"
permissions-dispatcher-PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,1.1.0,"Commit(sha=""15e58266e63103a37b58f4b38d3d61f139e63014"")"
permissions-dispatcher-PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,1.0.1,"Commit(sha=""06592391353fb8b35da77a34278f711c52ef6c08"")"
permissions-dispatcher-PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,1.0.0,"Commit(sha=""0d7be04f85e1ca0c6750dbf0d2b65cc42d59d2bf"")"
permissions-dispatcher-PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,0.9.0,"Commit(sha=""1e4764bc681d4f16e7dcb1bb0c5025e12a85a6bf"")"
permissions-dispatcher-PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,0.5.0,"Commit(sha=""518289f318721509f49e5951d537f33d45532d8a"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/6.25.0,"Commit(sha=""a219b2e1befbe22ac6f4ca924fb9158a095bc93c"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/6.24.0,"Commit(sha=""229cb2bdca158798ac1c554288c679afb787a283"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/6.23.0,"Commit(sha=""921c65f5aba36c9c737f557d5800f4f98755cf88"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/6.22.0,"Commit(sha=""eb93aaeca7e193de6e6bc275bebbe83f2b4c9c1a"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/6.21.0,"Commit(sha=""a28e9e22e5d51d8f6710a1d71e73be218a7cc1b3"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/6.20.0,"Commit(sha=""78da370fb88afd7abe4bfbeb091bb4fcc71ab655"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/6.19.0,"Commit(sha=""2881b6f585ce5aa2838163c3880bf3ec21e2e5a5"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/6.18.0,"Commit(sha=""3f42cca200334b6c4d762573b7c99e0a18b41b3c"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/6.17.0,"Commit(sha=""365e1c9e8bcabcc3d799ca444a9d8a258866549e"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/6.16.0,"Commit(sha=""45facbd32308e81c0e567e3f400f8161e30b5791"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/6.15.0,"Commit(sha=""ba2d795f596c7e271142790a2911cb7e7636e12b"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/6.14.0,"Commit(sha=""cd8b2e32178706f73eb82f5ced87b639f0faa03d"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/6.13.0,"Commit(sha=""4ed549f0b2925ead2c52897cc6ee093d624acd0f"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/6.12.0,"Commit(sha=""41e77bc34b3698fec7bac6e65edc3fd9f31f6ba8"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/6.11.0,"Commit(sha=""ea2776f70c7c97718a24bbfe14c4f748c21b8c18"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/6.10.0,"Commit(sha=""27374d85929dd8902a736c7f28da1431a535534f"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/6.9.0,"Commit(sha=""7e4e859c5f7d0288ca7ffef57f7d2394e0134c00"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/6.8.0,"Commit(sha=""161d9cd6d6723dec7c2aeb05402ea1096219fcbc"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/6.7.0,"Commit(sha=""b98bd0bb961d9f82437acccfe64923d992970310"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/6.6.0,"Commit(sha=""868f262c21d2f936c7fdf3385630285437e609e9"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/6.5.0,"Commit(sha=""211002bb34866931063cc20f0460cc68e87211ea"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/6.4.0,"Commit(sha=""e9d78ede3c4ab289fbf0fea9d732478414867c77"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/6.3.0,"Commit(sha=""10c66fbf38abca585d096520de511c208da6d616"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/6.2.0,"Commit(sha=""59b360a60a9f7f149b50fd208df19a47ffea9045"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/6.1.0,"Commit(sha=""101b71a13e2184be458507b4615b8ad5acb8a0bf"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/6.0.1,"Commit(sha=""0e460317e4c9ef23d0c284a5229aea913cfa34b3"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/6.0.0,"Commit(sha=""9b6fe9022595187e5128e195d1b84c0989f6eab1"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/5.8.1,"Commit(sha=""de28e518d471757f3b5900464933290ac39e6d49"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/5.8.0,"Commit(sha=""6dd0bc8bfdd3b47717445d9de2939295f3789efb"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/5.7.0,"Commit(sha=""9b70c1a0d1134054d3253729a5a75e7ad641fe83"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/5.6.1,"Commit(sha=""65a18787e91e9c4ebfe84b48d7762022ff0c56a8"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/5.6.0,"Commit(sha=""38fb34dc1769c58257a18cf67e4581ededd3b7a8"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/5.5.7,"Commit(sha=""fdf162382be67f558536a48aab258a1c16255a22"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/5.5.6,"Commit(sha=""7ac48f14a2b37ffa6548cef45923a0a4398b1aec"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/5.5.5,"Commit(sha=""8477966aad4b8d28ff856d9077877f9a491dd508"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/5.5.4,"Commit(sha=""765a5426048432e5ee3a69e852641f4ff023b911"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/5.5.3,"Commit(sha=""847ea1c0843eec2d35923e71f4bc904c1c4ed601"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/5.5.2,"Commit(sha=""96fffcaadd2e0fcfcc6fff3099c02c0112d61559"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/5.5.1,"Commit(sha=""cc3ad9aeb7ca93c1985703b5e9f657d7c3e0b3de"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/5.5.0,"Commit(sha=""64d9ef96fc6c573342445f06a3e1676e4b08d22a"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/5.4.6,"Commit(sha=""d9675bbc6f020d5a480e53d92876dacfcc585cfb"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/5.4.5,"Commit(sha=""0eec9064671c76b6e882a86c2d0b0257de8745fd"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/5.4.4,"Commit(sha=""12758ef777ad843ce23d8399693b71585028dec6"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/5.4.3,"Commit(sha=""5019eb11e40ac2845de814682559ae5221cf5110"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/5.4.2,"Commit(sha=""5fa4b309edcdbe66fd98a21c44800eccc0b0997b"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/5.4.1,"Commit(sha=""9a26c7472356f5e7b72a591f14a9c4fa0790e26a"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/5.4.0,"Commit(sha=""c21763a5e7f269f447d056b00bdd80478e033e28"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/5.3.8,"Commit(sha=""14cdf0b55030c261a6e7c8799a6ecbcee85fad56"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/5.3.7,"Commit(sha=""d89549f99497bd0e59d23683d0dcfef3741a60f5"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/5.3.6,"Commit(sha=""c141c91612e1fa836fc5445eb15416157f69c53b"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/5.3.5,"Commit(sha=""f357da73b64973eb47b117f671b380643ae15645"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/5.3.4,"Commit(sha=""0ffbe97a0451ad49d04766bba524896e7bde6921"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/5.3.3,"Commit(sha=""1348ed8e06d468095a5f0c927a4bfe088d118857"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/5.3.2,"Commit(sha=""2c99fbd5e5e6f45f028d0837d6159543f56aa1b7"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/5.3.1,"Commit(sha=""de7a81202fa02ae2af740f8eead8d8bcdc7b515a"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/5.3.0,"Commit(sha=""094c9c0ec96e814fc3784cf89320eeda7d1409bc"")"
pmd-pmd,https://github.com/pmd/pmd,pmd_releases/5.2.3,"Commit(sha=""6c316e93754642505758aed38f182c8056681d0e"")"
