project_name,project_version,agglo_accuracy,bunch_accuracy,algo_choice
cryptomator-cryptomator,1.5.0-beta3,0.9594594594594594,0.22522522522522526,agglo
cryptomator-cryptomator,1.5.0-rc1,0.954954954954955,0.2657657657657657,agglo
cryptomator-cryptomator,1.5.0-rc2,0.954954954954955,0.2702702702702703,agglo
cryptomator-cryptomator,1.5.0-rc3,0.954954954954955,0.25225225225225223,agglo
cryptomator-cryptomator,1.5.1,0.954954954954955,0.2567567567567568,agglo
cryptomator-cryptomator,1.5.2,0.8738738738738738,0.5585585585585586,agglo
cryptomator-cryptomator,1.5.3,0.8693693693693694,0.5810810810810811,agglo
cryptomator-cryptomator,1.5.4,0.8603603603603603,0.572072072072072,agglo
cryptomator-cryptomator,1.5.5,0.8513513513513513,0.5675675675675675,agglo
cryptomator-cryptomator,1.5.6,0.8513513513513513,0.5495495495495495,agglo
dropwizard-dropwizard,v2.0.11,0.8608799048751486,0.5766944114149821,agglo
dropwizard-dropwizard,v2.0.12,0.8596908442330559,0.7086801426872771,agglo
dropwizard-dropwizard,v2.0.2,0.8656361474435197,0.7871581450653984,agglo
dropwizard-dropwizard,v2.0.3,0.8585017835909632,0.595719381688466,agglo
dropwizard-dropwizard,v2.0.4,0.8585017835909632,0.535077288941736,agglo
dropwizard-dropwizard,v2.0.5,0.8585017835909632,0.61474435196195,agglo
dropwizard-dropwizard,v2.0.6,0.8585017835909632,0.5826397146254458,agglo
dropwizard-dropwizard,v2.0.7,0.8585017835909632,0.5980975029726516,agglo
dropwizard-dropwizard,v2.0.8,0.8585017835909632,0.5659928656361475,agglo
dropwizard-dropwizard,v2.0.9,0.8608799048751486,0.6064209274673008,agglo
dropwizard-metrics,v4.1.10.1,0.8791208791208791,0.5201465201465201,agglo
dropwizard-metrics,v4.1.11,0.8791208791208791,0.4725274725274725,agglo
dropwizard-metrics,v4.1.2,0.8827838827838828,0.5494505494505495,agglo
dropwizard-metrics,v4.1.3,0.8827838827838828,0.5934065934065934,agglo
dropwizard-metrics,v4.1.4,0.8754578754578755,0.575091575091575,agglo
dropwizard-metrics,v4.1.5,0.8754578754578755,0.5824175824175823,agglo
dropwizard-metrics,v4.1.6,0.8717948717948718,0.5457875457875458,agglo
dropwizard-metrics,v4.1.7,0.8681318681318682,0.5714285714285714,agglo
dropwizard-metrics,v4.1.8,0.8681318681318682,0.5860805860805861,agglo
dropwizard-metrics,v4.1.9,0.8681318681318682,0.5347985347985348,agglo
evant-gradle-retrolambda,v3.3.0-beta1,0.8695652173913043,0.6956521739130435,agglo
evant-gradle-retrolambda,v3.3.0-beta2,0.8695652173913043,0.6086956521739131,agglo
evant-gradle-retrolambda,v3.3.0-beta3,0.8695652173913043,0.6086956521739131,agglo
evant-gradle-retrolambda,v3.3.0-beta4,0.8695652173913043,0.6521739130434783,agglo
evant-gradle-retrolambda,v3.3.1,0.8695652173913043,0.6956521739130435,agglo
evant-gradle-retrolambda,v3.4.0,0.8695652173913043,0.6086956521739131,agglo
evant-gradle-retrolambda,v3.5.0,0.8695652173913043,0.5652173913043479,agglo
evant-gradle-retrolambda,v3.6.0,0.8695652173913043,0.5217391304347826,agglo
evant-gradle-retrolambda,v3.6.1,0.8695652173913043,0.5217391304347826,agglo
evant-gradle-retrolambda,v3.7.0,0.8695652173913043,0.4347826086956522,agglo
facebook-facebook-android-sdk,sdk-version-5.15.1,0.9004424778761062,0.5575221238938053,agglo
facebook-facebook-android-sdk,sdk-version-5.15.2,0.8960176991150443,0.48893805309734517,agglo
facebook-facebook-android-sdk,sdk-version-5.15.3,0.8960176991150443,0.7146017699115044,agglo
facebook-facebook-android-sdk,sdk-version-5.2.0,0.9004424778761062,0.4823008849557522,agglo
facebook-facebook-android-sdk,sdk-version-5.4.0,0.8982300884955752,0.5685840707964602,agglo
facebook-facebook-android-sdk,sdk-version-5.5.0,0.8982300884955752,0.5619469026548672,agglo
facebook-facebook-android-sdk,sdk-version-5.5.1,0.8982300884955752,0.7433628318584071,agglo
facebook-facebook-android-sdk,sdk-version-5.5.2,0.8982300884955752,0.4911504424778761,agglo
facebook-facebook-android-sdk,sdk-version-5.8.0,0.8893805309734513,0.4977876106194691,agglo
facebook-facebook-android-sdk,sdk-version-5.9.0,0.8893805309734513,0.5309734513274336,agglo
facebook-facebook-java-business-sdk,v3.2.7,0.9865771812080537,0.47986577181208057,agglo
facebook-facebook-java-business-sdk,v3.2.8,0.9697986577181208,0.7432885906040269,agglo
facebook-facebook-java-business-sdk,v3.2.9,0.9681208053691275,0.7365771812080537,agglo
facebook-facebook-java-business-sdk,v3.3.0,0.964765100671141,0.7214765100671141,agglo
facebook-facebook-java-business-sdk,v3.3.1,0.9664429530201343,0.8523489932885906,agglo
facebook-facebook-java-business-sdk,v3.3.2,0.964765100671141,0.7785234899328859,agglo
facebook-facebook-java-business-sdk,v3.3.3,0.964765100671141,0.8104026845637584,agglo
facebook-facebook-java-business-sdk,v3.3.4,0.9614093959731543,0.7953020134228188,agglo
facebook-facebook-java-business-sdk,v3.3.5,0.9664429530201343,0.8422818791946309,agglo
facebook-facebook-java-business-sdk,v3.3.6,0.9664429530201343,0.8154362416107382,agglo
facebook-fresco,v1.14.2,0.8660399529964747,0.4054054054054054,agglo
facebook-fresco,v1.2.0,0.8695652173913043,0.5135135135135135,agglo
facebook-fresco,v1.3.0,0.8566392479435958,0.6944770857814336,agglo
facebook-fresco,v1.4.0,0.8460634547591069,0.5440658049353702,agglo
facebook-fresco,v1.5.0,0.8472385428907168,0.5276145710928319,agglo
facebook-fresco,v1.7.0,0.8401880141010576,0.5041128084606346,agglo
facebook-fresco,v1.7.1,0.8401880141010576,0.6709753231492361,agglo
facebook-fresco,v1.8.0,0.8448883666274971,0.5299647473560517,agglo
facebook-fresco,v1.8.1,0.8448883666274971,0.4911868390129259,agglo
facebook-fresco,v1.9.0,0.8413631022326674,0.5346650998824911,agglo
facebook-litho,v2020.05.11.00,0.895930620413609,0.5970647098065377,agglo
facebook-litho,v2020.05.18.00,0.895263509006004,0.4776517678452301,agglo
facebook-litho,v2020.05.25.00,0.8979319546364243,0.43962641761174115,agglo
facebook-litho,v2020.06.01.00,0.895930620413609,0.7731821214142762,agglo
facebook-litho,v2020.06.08.00,0.8925950633755837,0.42895263509006,agglo
facebook-litho,v2020.06.15.00,0.8945963975983989,0.46697798532354906,agglo
facebook-litho,v2020.06.29.00,0.8925950633755837,0.4369579719813209,agglo
