file,class,method,variable,usage
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\dropwizard\dropwizard_v2.0.6\dropwizard-assets\src\main\java\io\dropwizard\assets\AssetsBundle.java,io.dropwizard.assets.AssetsBundle,"AssetsBundle/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",uriPath,4
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\dropwizard\dropwizard_v2.0.6\dropwizard-assets\src\main\java\io\dropwizard\assets\AssetsBundle.java,io.dropwizard.assets.AssetsBundle,"AssetsBundle/2[java.lang.String,java.lang.String]",resourcePath,1
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\dropwizard\dropwizard_v2.0.6\dropwizard-assets\src\main\java\io\dropwizard\assets\AssetsBundle.java,io.dropwizard.assets.AssetsBundle,"AssetsBundle/2[java.lang.String,java.lang.String]",uriPath,1
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\dropwizard\dropwizard_v2.0.6\dropwizard-assets\src\main\java\io\dropwizard\assets\AssetsBundle.java,io.dropwizard.assets.AssetsBundle,AssetsBundle/1[java.lang.String],path,2
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\dropwizard\dropwizard_v2.0.6\dropwizard-assets\src\test\java\io\dropwizard\assets\AssetsBundleTest.java,io.dropwizard.assets.AssetsBundleTest,normalize/1[java.lang.String],path,1
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\dropwizard\dropwizard_v2.0.6\dropwizard-assets\src\test\java\io\dropwizard\assets\AssetsBundleTest.java,io.dropwizard.assets.AssetsBundleTest,runBundle/1[io.dropwizard.assets.AssetsBundle],bundle,1
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\dropwizard\dropwizard_v2.0.6\dropwizard-assets\src\test\java\io\dropwizard\assets\AssetsBundleTest.java,io.dropwizard.assets.AssetsBundleTest,"runBundle/2[io.dropwizard.assets.AssetsBundle,java.lang.String]",servletCaptor,2
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\dropwizard\dropwizard_v2.0.6\dropwizard-assets\src\test\java\io\dropwizard\assets\AssetsBundleTest.java,io.dropwizard.assets.AssetsBundleTest,"runBundle/2[io.dropwizard.assets.AssetsBundle,java.lang.String]",assetName,1
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\dropwizard\dropwizard_v2.0.6\dropwizard-assets\src\test\java\io\dropwizard\assets\AssetsBundleTest.java,io.dropwizard.assets.AssetsBundleTest,"runBundle/2[io.dropwizard.assets.AssetsBundle,java.lang.String]",registration,2
C:\Users\tanji\Desktop\SoftwareRemodularization\raw_sourcecode\dropwizard\dropwizard_v2.0.6\dropwizard-assets\src\test\java\io\dropwizard\assets\AssetsBundleTest.java,io.dropwizard.assets.AssetsBundleTest,"runBundle/2[io.dropwizard.assets.AssetsBundle,java.lang.String]",pathCaptor,2
