project_name,project_link,version_name,commit,timestamp
Cxf,https://github.com/apache/cxf,cxf-3.4.0,"Commit(sha=""dd0feaaeee9a9a8e7ffb060f0cf46ef06b6b3d44"")",20/8/2020 14:30
Cxf,https://github.com/apache/cxf,cxf-3.3.11,"Commit(sha=""ebd2fa22dba0864c07f58cc43c5bfb1284e04259"")",4/6/2021 18:30
Cxf,https://github.com/apache/cxf,cxf-3.3.10,"Commit(sha=""2626b3ca26822763d334cf96b78b206a781bcc2e"")",15/3/2021 19:19
Cxf,https://github.com/apache/cxf,cxf-3.3.9,"Commit(sha=""b03b08cadbf4d2cad2dd24718d3844d5db698361"")",23/12/2020 18:01
Cxf,https://github.com/apache/cxf,cxf-3.3.8,"Commit(sha=""c8a3418e922a81bb5211de915a39d3987f84b27e"")",3/11/2020 17:27
Cxf,https://github.com/apache/cxf,cxf-3.3.7,"Commit(sha=""cb88e19d80fb1fc0f2d8b1f22a2b17dbb812cfcc"")",23/6/2020 19:46
Cxf,https://github.com/apache/cxf,cxf-3.3.6,"Commit(sha=""92d34cab5f11a74908294c2953fc4f42c8366a90"")",25/3/2020 16:02
Cxf,https://github.com/apache/cxf,cxf-3.3.5,"Commit(sha=""c2c912024f22d498e343bbd52e57a65f3fd4a1b8"")",10/1/2020 18:53
Hadoop,https://github.com/apache/hadoop,submarine-0.2.0-RC0,"Commit(sha=""4c49cae231beb7859d34c2171eb24d1fd5d51c4e"")",5/6/2019 2:44
Hadoop,https://github.com/apache/hadoop,remove-ozone,"Commit(sha=""9f0610fb83ae064e2e2c854fb2e9c9dc4cbc1646"")",24/10/2019 14:43
Hadoop,https://github.com/apache/hadoop,release-3.3.1-RC3,"Commit(sha=""a3b9c37a397ad4188041dd80621bdeefc46885f2"")",1/6/2021 8:37
Hadoop,https://github.com/apache/hadoop,release-3.3.1-RC2,"Commit(sha=""b2d1449986bd935f27f8472d02442980bbecd26b"")",1/6/2021 3:34
Hadoop,https://github.com/apache/hadoop,release-3.3.1-RC1,"Commit(sha=""1aaec6944ea6efa41b294c39748397f36b6caad0"")",24/5/2021 10:19
Hadoop,https://github.com/apache/hadoop,release-3.3.1-RC0,"Commit(sha=""4a0b8c92f599553a93a39071d287bb2cc3d1a19d"")",19/5/2021 13:56
Hadoop,https://github.com/apache/hadoop,release-3.3.0-RC0,"Commit(sha=""aa96f1871bfd858f9bac59cf2a81ec470da649af"")",6/7/2020 17:54
Hadoop,https://github.com/apache/hadoop,release-3.2.2-RC5,"Commit(sha=""7a3bc90b05f257c8ace2f76d74264906f0f7a932"")",3/1/2021 8:25
Hadoop,https://github.com/apache/hadoop,release-3.2.2-RC4,"Commit(sha=""6d8b801b667fced5414e92dff53e540214f9c9ea"")",7/12/2020 23:49
Hadoop,https://github.com/apache/hadoop,release-3.2.2-RC3,"Commit(sha=""922f7462d15e31d1bcc1cdfbc0298c3da4aa143b"")",23/11/2020 17:22
Hadoop,https://github.com/apache/hadoop,release-3.2.2-RC2,"Commit(sha=""6bee816740e3060a072772057f7a4715ec770d75"")",4/11/2020 3:58
Hadoop,https://github.com/apache/hadoop,release-3.2.2-RC1,"Commit(sha=""fe53f581842b86dee0f5d864085e7368af3e0222"")",29/10/2020 23:17
Alluxio,https://github.com/Alluxio/alluxio,v2.6.1,"Commit(sha=""4f1d962767c5f4c37d572b4ce3f1e07cc357474a"")",4/8/2021 22:21
Alluxio,https://github.com/Alluxio/alluxio,v2.6.0,"Commit(sha=""64d3b6b67d991aab9d73cc5729e577a20555ee8e"")",17/6/2021 0:34
Alluxio,https://github.com/Alluxio/alluxio,v2.6.0-RC2,"Commit(sha=""7f2abb5eb40b5a013e39ecbe1eac77cddca50a5b"")",15/6/2021 18:06
Alluxio,https://github.com/Alluxio/alluxio,v2.6.0-RC1,"Commit(sha=""dba693f9275472226f775d030285105987338101"")",8/6/2021 3:04
Alluxio,https://github.com/Alluxio/alluxio,v2.6.0-RC0,"Commit(sha=""906afe49e4f73eb685ecd37c9c80ae84393cbd2d"")",29/5/2021 1:19
Alluxio,https://github.com/Alluxio/alluxio,v2.5.0,"Commit(sha=""76569bcd1cc06c004884e03ffe330ccba2648818"")",13/3/2021 0:03
Alluxio,https://github.com/Alluxio/alluxio,v2.5.0-RC2,"Commit(sha=""cfd7b43ad56fe585711881b207a842832a58cbc8"")",4/3/2021 5:10
Alluxio,https://github.com/Alluxio/alluxio,v2.5.0-RC1,"Commit(sha=""731e09332e8e8be1131fd00262e58a726f2d114d"")",26/2/2021 3:39
Alluxio,https://github.com/Alluxio/alluxio,v2.5.0-RC0,"Commit(sha=""e20478ff850c672072535434cc883eb25f4755ec"")",20/2/2021 4:37
Alluxio,https://github.com/Alluxio/alluxio,v2.5.0-3,"Commit(sha=""3f5597a9e7a8c47be0ae574d291ab4388036372d"")",27/1/2021 21:05
Alluxio,https://github.com/Alluxio/alluxio,v2.5.0-2,"Commit(sha=""52ad95ca6b6af5c19a73a48f01a15db9d81ea38c"")",27/1/2021 21:05
Alluxio,https://github.com/Alluxio/alluxio,v2.5.0-1,"Commit(sha=""cb60e05b5e5f938dbae084fa2f8d719d6b23a9a7"")",27/1/2021 21:05
Beam,https://github.com/apache/beam,website-to-hugo,"Commit(sha=""1d2700818474c008eaa324ac1b5c49c9d2857298"")",14/5/2020 22:39
Beam,https://github.com/apache/beam,v2.31.0,"Commit(sha=""90f98a669d4819b469f25fd6f8d94c6a081c2b1a"")",21/6/2021 19:56
Beam,https://github.com/apache/beam,v2.31.0-RC1,"Commit(sha=""90f98a669d4819b469f25fd6f8d94c6a081c2b1a"")",21/6/2021 19:56
Beam,https://github.com/apache/beam,v2.30.0,"Commit(sha=""c026c9fa00239a6f3650a6fa69f3aa864f692afe"")",28/5/2021 5:35
Beam,https://github.com/apache/beam,v2.30.0-RC1,"Commit(sha=""c026c9fa00239a6f3650a6fa69f3aa864f692afe"")",28/5/2021 5:35
Beam,https://github.com/apache/beam,v2.29.0,"Commit(sha=""d7f44ed64351905c5b972921434da8100c142607"")",12/4/2021 18:18
Beam,https://github.com/apache/beam,v2.29.0-RC1,"Commit(sha=""a467e2fc5e74a49fc3ae1fc8b371f818a4f715e9"")",15/4/2021 20:20
Beam,https://github.com/apache/beam,v2.28.0,"Commit(sha=""4202efb5f01254e46fe421225a2ebbdba46da04d"")",13/2/2021 18:40
Beam,https://github.com/apache/beam,v2.28.0-RC1,"Commit(sha=""4202efb5f01254e46fe421225a2ebbdba46da04d"")",13/2/2021 18:40
Beam,https://github.com/apache/beam,v2.27.0,"Commit(sha=""ef9a640dd2860b0d1a630b1c11111876f8855528"")",6/1/2021 3:50
