project_name,project_version,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
JodaOrg-joda-time,v2.9.4,4154.0,12895.0,896.0,10803.0,159239.0,8747.0,740.0,7609.0,325.0,373.0,0.0,178.0,89.0,5.0,1732.0,1003.0,137.0,1425.0,2.0,0.0,1063.0,0.0,10385.0,85603.0,3645.0,291.0,1588.0,1467.0,1096.0,7599.0,47469.0,15378.0,4574.0,11241.0,360.0,80.0,145.0,0.0,42368.0,35989.0
JodaOrg-joda-time,v2.9.5,4153.0,12929.0,896.0,10824.0,160054.0,8764.0,739.0,7628.0,324.0,373.0,0.0,178.0,89.0,5.0,1736.0,1007.0,137.0,1427.0,2.0,0.0,1067.0,0.0,10410.0,85829.0,3646.0,291.0,1595.0,1471.0,1095.0,7653.0,47571.0,15436.0,4574.0,11293.0,360.0,80.0,145.0,0.0,42409.0,35989.0
JodaOrg-joda-time,v2.9.6,4153.0,12935.0,896.0,10832.0,160099.0,8765.0,740.0,7628.0,325.0,373.0,0.0,178.0,89.0,5.0,1736.0,1007.0,137.0,1427.0,2.0,0.0,1067.0,0.0,10415.0,85847.0,3647.0,292.0,1595.0,1471.0,1096.0,7653.0,47576.0,15444.0,4572.0,11299.0,360.0,80.0,145.0,0.0,42415.0,35989.0
JodaOrg-joda-time,v2.9.7,4153.0,12935.0,896.0,10832.0,160099.0,8765.0,740.0,7628.0,325.0,373.0,0.0,178.0,89.0,5.0,1736.0,1007.0,137.0,1427.0,2.0,0.0,1067.0,0.0,10415.0,85847.0,3647.0,292.0,1595.0,1471.0,1096.0,7653.0,47576.0,15444.0,4572.0,11299.0,360.0,80.0,145.0,0.0,42420.0,35989.0
JodaOrg-joda-time,v2.9.8,4155.0,12940.0,896.0,10839.0,160354.0,8769.0,740.0,7632.0,325.0,373.0,0.0,178.0,89.0,5.0,1736.0,1007.0,137.0,1427.0,2.0,0.0,1067.0,0.0,10417.0,85911.0,3647.0,292.0,1596.0,1471.0,1096.0,7657.0,47721.0,15451.0,4583.0,11305.0,360.0,80.0,146.0,0.0,42425.0,35989.0
JodaOrg-joda-time,v2.9.9,4155.0,12940.0,896.0,10839.0,160354.0,8769.0,740.0,7632.0,325.0,373.0,0.0,178.0,89.0,5.0,1736.0,1007.0,137.0,1427.0,2.0,0.0,1067.0,0.0,10417.0,85911.0,3647.0,292.0,1596.0,1471.0,1096.0,7657.0,47721.0,15451.0,4583.0,11305.0,360.0,80.0,146.0,0.0,42425.0,35989.0
Jotschi-maven-release-workflow-test,v1.0-126,54.0,62.0,54.0,17.0,35.0,58.0,2.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,318.0,1.0,0.0,0.0,2.0,0.0,25.0,8.0,4.0,5.0,4.0,2.0,0.0,0.0,0.0,230.0,1053.0
Jotschi-maven-release-workflow-test,v1.0-127,54.0,62.0,54.0,17.0,35.0,58.0,2.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,318.0,1.0,0.0,0.0,2.0,0.0,25.0,8.0,4.0,5.0,4.0,2.0,0.0,0.0,0.0,230.0,1053.0
Jotschi-maven-release-workflow-test,v1.0-128,54.0,62.0,54.0,17.0,35.0,58.0,2.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,318.0,1.0,0.0,0.0,2.0,0.0,25.0,8.0,4.0,5.0,4.0,2.0,0.0,0.0,0.0,230.0,1053.0
Jotschi-maven-release-workflow-test,v1.0-129,54.0,62.0,54.0,17.0,35.0,58.0,2.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,318.0,1.0,0.0,0.0,2.0,0.0,25.0,8.0,4.0,5.0,4.0,2.0,0.0,0.0,0.0,230.0,1053.0
