cbo_max,wmc_max,dit_max,rfc_max,lcom_max,totalMethods_max,staticMethods_max,publicMethods_max,privateMethods_max,protectedMethods_max,defaultMethods_max,abstractMethods_max,finalMethods_max,synchronizedMethods_max,totalFields_max,staticFields_max,publicFields_max,privateFields_max,protectedFields_max,defaultFields_max,finalFields_max,synchronizedFields_max,nosi_max,loc_max,returnQty_max,loopQty_max,comparisonsQty_max,tryCatchQty_max,parenthesizedExpsQty_max,stringLiteralsQty_max,numbersQty_max,assignmentsQty_max,mathOperationsQty_max,variablesQty_max,maxNestedBlocks_max,anonymousClassesQty_max,subClassesQty_max,lambdasQty_max,uniqueWordsQty_max,modifiers_max,cbo_mean,wmc_mean,dit_mean,rfc_mean,lcom_mean,totalMethods_mean,staticMethods_mean,publicMethods_mean,privateMethods_mean,protectedMethods_mean,defaultMethods_mean,abstractMethods_mean,finalMethods_mean,synchronizedMethods_mean,totalFields_mean,staticFields_mean,publicFields_mean,privateFields_mean,protectedFields_mean,defaultFields_mean,finalFields_mean,synchronizedFields_mean,nosi_mean,loc_mean,returnQty_mean,loopQty_mean,comparisonsQty_mean,tryCatchQty_mean,parenthesizedExpsQty_mean,stringLiteralsQty_mean,numbersQty_mean,assignmentsQty_mean,mathOperationsQty_mean,variablesQty_mean,maxNestedBlocks_mean,anonymousClassesQty_mean,subClassesQty_mean,lambdasQty_mean,uniqueWordsQty_mean,modifiers_mean,cbo_std,wmc_std,dit_std,rfc_std,lcom_std,totalMethods_std,staticMethods_std,publicMethods_std,privateMethods_std,protectedMethods_std,defaultMethods_std,abstractMethods_std,finalMethods_std,synchronizedMethods_std,totalFields_std,staticFields_std,publicFields_std,privateFields_std,protectedFields_std,defaultFields_std,finalFields_std,synchronizedFields_std,nosi_std,loc_std,returnQty_std,loopQty_std,comparisonsQty_std,tryCatchQty_std,parenthesizedExpsQty_std,stringLiteralsQty_std,numbersQty_std,assignmentsQty_std,mathOperationsQty_std,variablesQty_std,maxNestedBlocks_std,anonymousClassesQty_std,subClassesQty_std,lambdasQty_std,uniqueWordsQty_std,modifiers_std,cbo_sum,wmc_sum,dit_sum,rfc_sum,lcom_sum,totalMethods_sum,staticMethods_sum,publicMethods_sum,privateMethods_sum,protectedMethods_sum,defaultMethods_sum,abstractMethods_sum,finalMethods_sum,synchronizedMethods_sum,totalFields_sum,staticFields_sum,publicFields_sum,privateFields_sum,protectedFields_sum,defaultFields_sum,finalFields_sum,synchronizedFields_sum,nosi_sum,loc_sum,returnQty_sum,loopQty_sum,comparisonsQty_sum,tryCatchQty_sum,parenthesizedExpsQty_sum,stringLiteralsQty_sum,numbersQty_sum,assignmentsQty_sum,mathOperationsQty_sum,variablesQty_sum,maxNestedBlocks_sum,anonymousClassesQty_sum,subClassesQty_sum,lambdasQty_sum,uniqueWordsQty_sum,modifiers_sum,project,config
138.0,201.0,38.0,285.0,7173.0,123.0,33.0,122.0,28.0,18.0,35.0,6.0,30.0,3.0,61.0,33.0,33.0,61.0,16.0,0.0,61.0,0.0,285.0,1565.0,118.0,32.0,52.0,36.0,50.0,387.0,218.0,214.0,62.0,185.0,6.0,61.0,24.0,48.0,640.0,1025.0,9.279377064653136,9.41623407267579,1.6611609249646058,15.95280792826805,38.87541293062765,6.638036809815952,0.9419537517697026,4.778197262859838,1.175082586125531,0.2576687116564417,0.0726757904672015,0.04341670599339311,0.08447380840018877,0.008494572911750826,2.4676734308636155,1.0627654554034922,0.244454931571496,2.091552619159981,0.10146295422369042,0.0,1.6583294006606888,0.0,5.3152430391694185,78.33223218499292,4.210948560641812,0.37800849457291175,0.7852760736196319,0.3317602642756017,0.2420953279848985,7.115148655025957,2.6545540349221333,7.643699858423785,1.1477111845210004,6.9726285983954694,0.5865974516281265,0.1557338367154318,0.3940537989617745,0.8862671071260029,58.89900896649363,60.86125530910807,9.254216015382628,13.657431670131743,1.8908748548681449,21.59026203908471,267.9620030611062,8.631621987035082,2.198147162885505,8.064651202308353,2.3547557368123813,1.0572187405012283,1.1819399412313678,0.32229528499680404,0.8493399059691744,0.1300960233867047,3.7372089456572284,2.4433769138955594,1.49872031429317,3.4280847781821047,0.7429827417276558,0.0,3.0963921317035896,0.0,14.352854994127595,105.80728403263856,7.963879326971153,1.6797712190562468,2.939370071644949,1.3714636099907482,1.7063461364192078,20.50203131104868,9.266313067389476,13.479813771594053,4.000635360259992,12.092623580936037,0.997603210709584,1.6806693877943395,1.2695989637432477,2.5032170399341207,49.299380213954926,231.07017236273305,19663.0,19953.0,3520.0,33804.0,82377.0,14066.0,1996.0,10125.0,2490.0,546.0,154.0,92.0,179.0,18.0,5229.0,2252.0,518.0,4432.0,215.0,0.0,3514.0,0.0,11263.0,165986.0,8923.0,801.0,1664.0,703.0,513.0,15077.0,5625.0,16197.0,2432.0,14775.0,1243.0,330.0,835.0,1878.0,124807.0,128965.0,aws-aws-sdk-java-v22.9.24,25_single_manhattan
138.0,201.0,38.0,285.0,7173.0,123.0,33.0,122.0,28.0,18.0,35.0,6.0,30.0,3.0,61.0,33.0,33.0,61.0,16.0,0.0,61.0,0.0,285.0,1565.0,118.0,32.0,52.0,36.0,50.0,387.0,218.0,214.0,62.0,185.0,6.0,61.0,24.0,48.0,640.0,1025.0,9.282147903909562,9.406029203956663,1.6617993405558174,15.951483749411214,38.796514366462546,6.6311822892133785,0.940650023551578,4.77296278850683,1.1738106453132358,0.25765426283561,0.07253886010362694,0.04333490343853038,0.08431464908148846,0.008478568064060292,2.4667922750824305,1.06123410268488,0.24399434762129066,2.0913801224682054,0.10127178520960904,0.0,1.6561469618464435,0.0,5.309938765897315,78.33820065944418,4.203956665096562,0.3768252472915685,0.7837965143664626,0.3316062176165803,0.2416391898257184,7.104097974564295,2.6523787093735285,7.6420160150730085,1.1460197833254828,6.969382948657559,0.5864342910975036,0.1568535091851154,0.3942534149788036,0.8897786151672162,58.90673575129535,60.74046161092792,9.251690458813034,13.647577193574238,1.8869026136457647,21.58033020279648,267.71523099691893,8.625909935266847,2.1963599720336675,8.05818169361922,2.3530179822571435,1.0563891868772874,1.180829636850642,0.32199688333330817,0.8485469305873494,0.12997387139517916,3.734749628256864,2.4413998748739325,1.4973446380493691,3.425955170389748,0.7422951918397704,0.0,3.0939565366961506,0.0,14.340646021660858,105.79935657200016,7.958027463765808,1.6782328519196628,2.9367959260173366,1.3703039459333053,1.7047694772616848,20.48433338909689,9.257939901477986,13.470460791511506,3.99709684155608,12.083104668175485,0.9969059834609912,1.6802292970850736,1.2693386055736762,2.5084408114217065,49.31697249907419,230.86869918853702,19706.0,19969.0,3528.0,33865.0,82365.0,14078.0,1997.0,10133.0,2492.0,547.0,154.0,92.0,179.0,18.0,5237.0,2253.0,518.0,4440.0,215.0,0.0,3516.0,0.0,11273.0,166312.0,8925.0,800.0,1664.0,704.0,513.0,15082.0,5631.0,16224.0,2433.0,14796.0,1245.0,333.0,837.0,1889.0,125059.0,128952.0,aws-aws-sdk-java-v22.9.25,25_single_cosine
138.0,201.0,38.0,285.0,7173.0,123.0,33.0,122.0,28.0,18.0,35.0,6.0,30.0,3.0,61.0,33.0,33.0,61.0,16.0,0.0,61.0,0.0,285.0,1565.0,118.0,32.0,52.0,36.0,50.0,387.0,218.0,214.0,62.0,185.0,6.0,61.0,24.0,48.0,640.0,1025.0,9.282147903909562,9.406029203956663,1.6617993405558174,15.951483749411214,38.796514366462546,6.6311822892133785,0.940650023551578,4.77296278850683,1.1738106453132358,0.25765426283561,0.07253886010362694,0.04333490343853038,0.08431464908148846,0.008478568064060292,2.4667922750824305,1.06123410268488,0.24399434762129066,2.0913801224682054,0.10127178520960904,0.0,1.6561469618464435,0.0,5.309938765897315,78.33820065944418,4.203956665096562,0.3768252472915685,0.7837965143664626,0.3316062176165803,0.2416391898257184,7.104097974564295,2.6523787093735285,7.6420160150730085,1.1460197833254828,6.969382948657559,0.5864342910975036,0.1568535091851154,0.3942534149788036,0.8897786151672162,58.90673575129535,60.74046161092792,9.251690458813034,13.647577193574238,1.8869026136457647,21.58033020279648,267.71523099691893,8.625909935266847,2.1963599720336675,8.05818169361922,2.3530179822571435,1.0563891868772874,1.180829636850642,0.32199688333330817,0.8485469305873494,0.12997387139517916,3.734749628256864,2.4413998748739325,1.4973446380493691,3.425955170389748,0.7422951918397704,0.0,3.0939565366961506,0.0,14.340646021660858,105.79935657200016,7.958027463765808,1.6782328519196628,2.9367959260173366,1.3703039459333053,1.7047694772616848,20.48433338909689,9.257939901477986,13.470460791511506,3.99709684155608,12.083104668175485,0.9969059834609912,1.6802292970850736,1.2693386055736762,2.5084408114217065,49.31697249907419,230.86869918853702,19706.0,19969.0,3528.0,33865.0,82365.0,14078.0,1997.0,10133.0,2492.0,547.0,154.0,92.0,179.0,18.0,5237.0,2253.0,518.0,4440.0,215.0,0.0,3516.0,0.0,11273.0,166312.0,8925.0,800.0,1664.0,704.0,513.0,15082.0,5631.0,16224.0,2433.0,14796.0,1245.0,333.0,837.0,1889.0,125059.0,128952.0,aws-aws-sdk-java-v22.9.26,25_single_cosine
138.0,201.0,38.0,285.0,7173.0,123.0,32.0,122.0,28.0,18.0,35.0,6.0,30.0,3.0,61.0,33.0,33.0,61.0,16.0,0.0,61.0,0.0,285.0,1565.0,118.0,32.0,52.0,36.0,50.0,387.0,218.0,214.0,62.0,185.0,6.0,61.0,24.0,48.0,640.0,1025.0,9.293865905848786,9.405611031859248,1.6642891107941036,15.94674274845459,38.96766524013313,6.632905373276273,0.9438896814075132,4.766524013314314,1.176414645744175,0.25962910128388017,0.07322872087494056,0.043747028055159294,0.08511650023775559,0.008559201141226819,2.4693295292439372,1.0627674750356633,0.2463147883975273,2.0922491678554445,0.10080836899667142,0.0,1.6576319543509273,0.0,5.3100332857822155,78.264384213029,4.215406562054208,0.3794579172610557,0.7874465049928673,0.33190679980979554,0.24203518782691394,7.0851165002377545,2.6433666191155494,7.621968616262483,1.1393247741321921,6.951973371374228,0.5877318116975749,0.15691868758915833,0.3927722301474085,0.8792201616737993,58.88873038516405,60.79172610556349,9.281217819870372,13.669836187875132,1.897089276305728,21.63845331441381,268.90316895252323,8.639756174212442,2.1954215595576256,8.071232681465219,2.359017172507476,1.0609948365326256,1.1864126855405601,0.3234972381517101,0.8525341823598612,0.13058809811719416,3.742659911537911,2.4475190542818512,1.5042611438102471,3.4325153444152847,0.7430709499225737,0.0,3.1005581744142403,0.0,14.388418046502087,105.98429726422954,7.969178878756063,1.6843140124946898,2.9462347229453747,1.3726167051594993,1.7118554666291186,20.469905088734226,9.280657400789996,13.485666793765438,3.988338009331516,12.09717530999443,0.9984677797046574,1.6869985892978048,1.2724800918510015,2.490450068139438,49.33091797806506,230.9458551262977,19545.0,19780.0,3500.0,33536.0,81949.0,13949.0,1985.0,10024.0,2474.0,546.0,154.0,92.0,179.0,18.0,5193.0,2235.0,518.0,4400.0,212.0,0.0,3486.0,0.0,11167.0,164590.0,8865.0,798.0,1656.0,698.0,509.0,14900.0,5559.0,16029.0,2396.0,14620.0,1236.0,330.0,826.0,1849.0,123843.0,127845.0,aws-aws-sdk-java-v22.9.3,25_single_manhattan
138.0,201.0,38.0,285.0,7173.0,123.0,32.0,122.0,28.0,18.0,35.0,6.0,30.0,3.0,61.0,33.0,33.0,61.0,16.0,0.0,61.0,0.0,285.0,1565.0,118.0,32.0,52.0,36.0,50.0,387.0,218.0,214.0,62.0,185.0,6.0,61.0,24.0,48.0,640.0,1025.0,9.293865905848786,9.405611031859248,1.6642891107941036,15.94674274845459,38.96766524013313,6.632905373276273,0.9438896814075132,4.766524013314314,1.176414645744175,0.25962910128388017,0.07322872087494056,0.043747028055159294,0.08511650023775559,0.008559201141226819,2.4693295292439372,1.0627674750356633,0.2463147883975273,2.0922491678554445,0.10080836899667142,0.0,1.6576319543509273,0.0,5.3100332857822155,78.264384213029,4.215406562054208,0.3794579172610557,0.7874465049928673,0.33190679980979554,0.24203518782691394,7.0851165002377545,2.6433666191155494,7.621968616262483,1.1393247741321921,6.951973371374228,0.5877318116975749,0.15691868758915833,0.3927722301474085,0.8792201616737993,58.88873038516405,60.79172610556349,9.281217819870372,13.669836187875132,1.897089276305728,21.63845331441381,268.90316895252323,8.639756174212442,2.1954215595576256,8.071232681465219,2.359017172507476,1.0609948365326256,1.1864126855405601,0.3234972381517101,0.8525341823598612,0.13058809811719416,3.742659911537911,2.4475190542818512,1.5042611438102471,3.4325153444152847,0.7430709499225737,0.0,3.1005581744142403,0.0,14.388418046502087,105.98429726422954,7.969178878756063,1.6843140124946898,2.9462347229453747,1.3726167051594993,1.7118554666291186,20.469905088734226,9.280657400789996,13.485666793765438,3.988338009331516,12.09717530999443,0.9984677797046574,1.6869985892978048,1.2724800918510015,2.490450068139438,49.33091797806506,230.9458551262977,19545.0,19780.0,3500.0,33536.0,81949.0,13949.0,1985.0,10024.0,2474.0,546.0,154.0,92.0,179.0,18.0,5193.0,2235.0,518.0,4400.0,212.0,0.0,3486.0,0.0,11167.0,164590.0,8865.0,798.0,1656.0,698.0,509.0,14900.0,5559.0,16029.0,2396.0,14620.0,1236.0,330.0,826.0,1849.0,123843.0,127845.0,aws-aws-sdk-java-v22.9.4,25_single_manhattan
138.0,201.0,38.0,285.0,7173.0,123.0,32.0,122.0,28.0,18.0,35.0,6.0,30.0,3.0,61.0,33.0,33.0,61.0,16.0,0.0,61.0,0.0,285.0,1565.0,118.0,32.0,52.0,36.0,50.0,387.0,218.0,214.0,62.0,185.0,6.0,61.0,24.0,48.0,640.0,1025.0,9.293865905848786,9.405611031859248,1.6642891107941036,15.94674274845459,38.96766524013313,6.632905373276273,0.9438896814075132,4.766524013314314,1.176414645744175,0.25962910128388017,0.07322872087494056,0.043747028055159294,0.08511650023775559,0.008559201141226819,2.4693295292439372,1.0627674750356633,0.2463147883975273,2.0922491678554445,0.10080836899667142,0.0,1.6576319543509273,0.0,5.3100332857822155,78.264384213029,4.215406562054208,0.3794579172610557,0.7874465049928673,0.33190679980979554,0.24203518782691394,7.0851165002377545,2.6433666191155494,7.621968616262483,1.1393247741321921,6.951973371374228,0.5877318116975749,0.15691868758915833,0.3927722301474085,0.8792201616737993,58.88873038516405,60.79172610556349,9.281217819870372,13.669836187875132,1.897089276305728,21.63845331441381,268.90316895252323,8.639756174212442,2.1954215595576256,8.071232681465219,2.359017172507476,1.0609948365326256,1.1864126855405601,0.3234972381517101,0.8525341823598612,0.13058809811719416,3.742659911537911,2.4475190542818512,1.5042611438102471,3.4325153444152847,0.7430709499225737,0.0,3.1005581744142403,0.0,14.388418046502087,105.98429726422954,7.969178878756063,1.6843140124946898,2.9462347229453747,1.3726167051594993,1.7118554666291186,20.469905088734226,9.280657400789996,13.485666793765438,3.988338009331516,12.09717530999443,0.9984677797046574,1.6869985892978048,1.2724800918510015,2.490450068139438,49.33091797806506,230.9458551262977,19545.0,19780.0,3500.0,33536.0,81949.0,13949.0,1985.0,10024.0,2474.0,546.0,154.0,92.0,179.0,18.0,5193.0,2235.0,518.0,4400.0,212.0,0.0,3486.0,0.0,11167.0,164590.0,8865.0,798.0,1656.0,698.0,509.0,14900.0,5559.0,16029.0,2396.0,14620.0,1236.0,330.0,826.0,1849.0,123843.0,127845.0,aws-aws-sdk-java-v22.9.5,25_single_manhattan
138.0,201.0,38.0,285.0,7173.0,123.0,32.0,122.0,28.0,18.0,35.0,6.0,30.0,3.0,61.0,33.0,33.0,61.0,16.0,0.0,61.0,0.0,285.0,1565.0,118.0,32.0,52.0,36.0,50.0,387.0,218.0,214.0,62.0,185.0,6.0,61.0,24.0,48.0,640.0,1025.0,9.293865905848786,9.405611031859248,1.6642891107941036,15.94674274845459,38.96766524013313,6.632905373276273,0.9438896814075132,4.766524013314314,1.176414645744175,0.25962910128388017,0.07322872087494056,0.043747028055159294,0.08511650023775559,0.008559201141226819,2.4693295292439372,1.0627674750356633,0.2463147883975273,2.0922491678554445,0.10080836899667142,0.0,1.6576319543509273,0.0,5.3100332857822155,78.264384213029,4.215406562054208,0.3794579172610557,0.7874465049928673,0.33190679980979554,0.24203518782691394,7.0851165002377545,2.6433666191155494,7.621968616262483,1.1393247741321921,6.951973371374228,0.5877318116975749,0.15691868758915833,0.3927722301474085,0.8792201616737993,58.88873038516405,60.79172610556349,9.281217819870372,13.669836187875132,1.897089276305728,21.63845331441381,268.90316895252323,8.639756174212442,2.1954215595576256,8.071232681465219,2.359017172507476,1.0609948365326256,1.1864126855405601,0.3234972381517101,0.8525341823598612,0.13058809811719416,3.742659911537911,2.4475190542818512,1.5042611438102471,3.4325153444152847,0.7430709499225737,0.0,3.1005581744142403,0.0,14.388418046502087,105.98429726422954,7.969178878756063,1.6843140124946898,2.9462347229453747,1.3726167051594993,1.7118554666291186,20.469905088734226,9.280657400789996,13.485666793765438,3.988338009331516,12.09717530999443,0.9984677797046574,1.6869985892978048,1.2724800918510015,2.490450068139438,49.33091797806506,230.9458551262977,19545.0,19780.0,3500.0,33536.0,81949.0,13949.0,1985.0,10024.0,2474.0,546.0,154.0,92.0,179.0,18.0,5193.0,2235.0,518.0,4400.0,212.0,0.0,3486.0,0.0,11167.0,164590.0,8865.0,798.0,1656.0,698.0,509.0,14900.0,5559.0,16029.0,2396.0,14620.0,1236.0,330.0,826.0,1849.0,123843.0,127845.0,aws-aws-sdk-java-v22.9.6,25_single_manhattan
138.0,201.0,38.0,285.0,7173.0,123.0,32.0,122.0,28.0,18.0,35.0,6.0,30.0,3.0,61.0,33.0,33.0,61.0,16.0,0.0,61.0,0.0,285.0,1565.0,118.0,32.0,52.0,36.0,50.0,387.0,218.0,214.0,62.0,185.0,6.0,61.0,24.0,48.0,640.0,1025.0,9.293865905848786,9.405611031859248,1.6642891107941036,15.94674274845459,38.96766524013313,6.632905373276273,0.9438896814075132,4.766524013314314,1.176414645744175,0.25962910128388017,0.07322872087494056,0.043747028055159294,0.08511650023775559,0.008559201141226819,2.4693295292439372,1.0627674750356633,0.2463147883975273,2.0922491678554445,0.10080836899667142,0.0,1.6576319543509273,0.0,5.3100332857822155,78.264384213029,4.215406562054208,0.3794579172610557,0.7874465049928673,0.33190679980979554,0.24203518782691394,7.0851165002377545,2.6433666191155494,7.621968616262483,1.1393247741321921,6.951973371374228,0.5877318116975749,0.15691868758915833,0.3927722301474085,0.8792201616737993,58.88873038516405,60.79172610556349,9.281217819870372,13.669836187875132,1.897089276305728,21.63845331441381,268.90316895252323,8.639756174212442,2.1954215595576256,8.071232681465219,2.359017172507476,1.0609948365326256,1.1864126855405601,0.3234972381517101,0.8525341823598612,0.13058809811719416,3.742659911537911,2.4475190542818512,1.5042611438102471,3.4325153444152847,0.7430709499225737,0.0,3.1005581744142403,0.0,14.388418046502087,105.98429726422954,7.969178878756063,1.6843140124946898,2.9462347229453747,1.3726167051594993,1.7118554666291186,20.469905088734226,9.280657400789996,13.485666793765438,3.988338009331516,12.09717530999443,0.9984677797046574,1.6869985892978048,1.2724800918510015,2.490450068139438,49.33091797806506,230.9458551262977,19545.0,19780.0,3500.0,33536.0,81949.0,13949.0,1985.0,10024.0,2474.0,546.0,154.0,92.0,179.0,18.0,5193.0,2235.0,518.0,4400.0,212.0,0.0,3486.0,0.0,11167.0,164590.0,8865.0,798.0,1656.0,698.0,509.0,14900.0,5559.0,16029.0,2396.0,14620.0,1236.0,330.0,826.0,1849.0,123843.0,127845.0,aws-aws-sdk-java-v22.9.7,25_single_manhattan
138.0,201.0,38.0,285.0,7173.0,123.0,32.0,122.0,28.0,18.0,35.0,6.0,30.0,3.0,61.0,33.0,33.0,61.0,16.0,0.0,61.0,0.0,285.0,1565.0,118.0,32.0,52.0,36.0,50.0,387.0,218.0,214.0,62.0,185.0,6.0,61.0,24.0,48.0,640.0,1025.0,9.293865905848786,9.405611031859248,1.6642891107941036,15.94674274845459,38.96766524013313,6.632905373276273,0.9438896814075132,4.766524013314314,1.176414645744175,0.25962910128388017,0.07322872087494056,0.043747028055159294,0.08511650023775559,0.008559201141226819,2.4693295292439372,1.0627674750356633,0.2463147883975273,2.0922491678554445,0.10080836899667142,0.0,1.6576319543509273,0.0,5.3100332857822155,78.264384213029,4.215406562054208,0.3794579172610557,0.7874465049928673,0.33190679980979554,0.24203518782691394,7.0851165002377545,2.6433666191155494,7.621968616262483,1.1393247741321921,6.951973371374228,0.5877318116975749,0.15691868758915833,0.3927722301474085,0.8792201616737993,58.88873038516405,60.79172610556349,9.281217819870372,13.669836187875132,1.897089276305728,21.63845331441381,268.90316895252323,8.639756174212442,2.1954215595576256,8.071232681465219,2.359017172507476,1.0609948365326256,1.1864126855405601,0.3234972381517101,0.8525341823598612,0.13058809811719416,3.742659911537911,2.4475190542818512,1.5042611438102471,3.4325153444152847,0.7430709499225737,0.0,3.1005581744142403,0.0,14.388418046502087,105.98429726422954,7.969178878756063,1.6843140124946898,2.9462347229453747,1.3726167051594993,1.7118554666291186,20.469905088734226,9.280657400789996,13.485666793765438,3.988338009331516,12.09717530999443,0.9984677797046574,1.6869985892978048,1.2724800918510015,2.490450068139438,49.33091797806506,230.9458551262977,19545.0,19780.0,3500.0,33536.0,81949.0,13949.0,1985.0,10024.0,2474.0,546.0,154.0,92.0,179.0,18.0,5193.0,2235.0,518.0,4400.0,212.0,0.0,3486.0,0.0,11167.0,164590.0,8865.0,798.0,1656.0,698.0,509.0,14900.0,5559.0,16029.0,2396.0,14620.0,1236.0,330.0,826.0,1849.0,123843.0,127845.0,aws-aws-sdk-java-v22.9.8,25_single_manhattan
138.0,201.0,38.0,285.0,7173.0,123.0,32.0,122.0,28.0,18.0,35.0,6.0,30.0,3.0,61.0,33.0,33.0,61.0,16.0,0.0,61.0,0.0,285.0,1565.0,118.0,32.0,52.0,36.0,50.0,387.0,218.0,214.0,62.0,185.0,6.0,61.0,24.0,48.0,640.0,1025.0,9.2943414170233,9.409890632429864,1.6642891107941036,15.955301949595814,38.98097955301949,6.634807417974322,0.9438896814075132,4.7679505468378505,1.1768901569186876,0.25962910128388017,0.07322872087494056,0.043747028055159294,0.08511650023775559,0.008559201141226819,2.4712315739419886,1.063242986210176,0.2463147883975273,2.094151212553496,0.10080836899667142,0.0,1.659058487874465,0.0,5.310508796956729,78.29434141702329,4.216833095577746,0.3799334284355682,0.7879220161673799,0.33190679980979554,0.24203518782691394,7.087018544935808,2.645744174988112,7.627674750356634,1.1398002853067046,6.956728483119353,0.5882073228720875,0.15691868758915833,0.3927722301474085,0.8792201616737993,58.910603899191635,60.79172610556349,9.281433403531912,13.67421462850414,1.897089276305728,21.651264604717113,268.9046280226813,8.640607669746101,2.19498812630014,8.0715980148452,2.3606951255000164,1.0609948365326256,1.1864126855405601,0.3234972381517101,0.8525341823598612,0.13058809811719416,3.74572445830146,2.4479927001830464,1.5042611438102471,3.4360653695114647,0.7430709499225737,0.0,3.1024793602355705,0.0,14.388821080986993,106.00375826475492,7.970304188814565,1.6849127896694567,2.9465112027516067,1.3726167051594993,1.7118554666291186,20.470129494591514,9.282670578998149,13.495981523524465,3.9892158812661087,12.104427131457527,0.9993783847247252,1.6869985892978048,1.2724800918510015,2.490450068139438,49.374301924670704,230.9458551262977,19546.0,19789.0,3500.0,33554.0,81977.0,13953.0,1985.0,10027.0,2475.0,546.0,154.0,92.0,179.0,18.0,5197.0,2236.0,518.0,4404.0,212.0,0.0,3489.0,0.0,11168.0,164653.0,8868.0,799.0,1657.0,698.0,509.0,14904.0,5564.0,16041.0,2397.0,14630.0,1237.0,330.0,826.0,1849.0,123889.0,127845.0,aws-aws-sdk-java-v22.9.9,25_single_manhattan
