latest_commit,commit_compared_with,num_dependency,num_line_affected,actual_num_of_classes_touched,latest_commit_date,commit_compared_with_date
fa4462b978a871b4d14b3ee8d28a4b8623963d0f,71a56f6fa1ab6711c1b75f0ea951639eb0af23a5,3250.0,199,21,2020-11-28 00:29:52,2020-09-29 19:08:04
8c5bb16cca4ef21e13e8696a2a0e62e0a8bc00c5,98855d4dc5f76d5336933c09d5e5ab615b3673bc,8.0,60,2,2020-09-24 12:30:44,2020-07-02 22:22:41
8c5bb16cca4ef21e13e8696a2a0e62e0a8bc00c5,eac76bb15a651861ec206d4a68d8409e9ca106db,14.0,43,39,2020-09-24 12:30:44,2020-07-12 02:01:01
8c5bb16cca4ef21e13e8696a2a0e62e0a8bc00c5,4a53f8accdcc28aca78e96a2839dc7dad9bbdfd9,160.0,146,29,2020-09-24 12:30:44,2020-07-30 02:03:22
8c5bb16cca4ef21e13e8696a2a0e62e0a8bc00c5,1a205fc885308572dd322a8945043dda1523bb84,12.0,8,4,2020-09-24 12:30:44,2020-08-02 03:53:38
8c5bb16cca4ef21e13e8696a2a0e62e0a8bc00c5,65de08bddb334129a9baa6a872a8aa3bced5d07c,16.0,210,2,2020-09-24 12:30:44,2020-08-02 06:44:27
8c5bb16cca4ef21e13e8696a2a0e62e0a8bc00c5,3e9de33f0036b460cb49ab9622e02f58bf7c0729,8.0,14,31,2020-09-24 12:30:44,2020-08-04 09:48:46
8c5bb16cca4ef21e13e8696a2a0e62e0a8bc00c5,478ef916c89406ca6da96febffd74ff373120494,27.0,15,4,2020-09-24 12:30:44,2020-08-04 11:57:42
